method,metric,analysis_role,circular,animal_id,sex,tissue,value,n_recordings_collapsed,n_anatomical_units_collapsed,recording_ids
STFT,pre_envelope_log_rate_per_day,secondary,False,20251003_M3,M,SCN,-0.35205766591791876,1,1,4B-M3SCN
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m2,F,DRG,-0.4368660959966774,8,7,1B-L1m2 | 1D-L2m2 | 2C-L3m2 | 2D-L4m2 | 3A-L5m2 | 3B-T10m2 | 4B-T12m2 | 5B-T12m2
STFT,post_envelope_log_rate_per_day,secondary,False,20250626_M1,M,SCN,-0.39164062833532265,1,1,1C-SCN
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m1,F,DRG,-0.43137590044086355,6,6,4C-T5m1 | 4D-T7m1 | 5A-T10m1 | 8B-L2m1 | 8C-L3m1 | 8D-L4-1m1
STFT,post_envelope_log_rate_per_day,secondary,False,20250626_M1,M,DRG,-0.3466500116072186,7,7,5C-T12 | 5D-T10 | 6A-T7 | 6B-T5 | 7C-L1 | 7D-L2 | 8A-L3
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m1,F,SCN,-0.5163865778281272,1,1,6C-SCNmm1
STFT,post_envelope_log_rate_per_day,secondary,False,20250703_m2,F,SCN,-0.5596481624893272,2,2,7A-SCNmm2 | 7B-SCNcm2
STFT,post_envelope_log_rate_per_day,secondary,False,20250728_M1,F,SCN,-0.15676763960397933,2,2,6A-SCNrM1 | 7A-SCNcM1
STFT,post_envelope_log_rate_per_day,secondary,False,20250728_M2,F,SCN,-0.2999251933876964,2,2,6B-SCNrM2 | 7B-SCNcM2
STFT,post_envelope_log_rate_per_day,secondary,False,20250811_1F,F,SCN,-0.4939056531791986,1,1,1A-1FSCN
STFT,post_envelope_log_rate_per_day,secondary,False,20250811_2M,M,SCN,-0.4981322668888807,1,1,1B-2MSCN
STFT,post_envelope_log_rate_per_day,secondary,False,20250811_3F,F,SCN,-0.28894794736271895,1,1,1C-3FSCN
STFT,post_envelope_log_rate_per_day,secondary,False,20250811_4F,F,SCN,-0.2729702291564112,1,1,1D-4FSCN
STFT,post_envelope_log_rate_per_day,secondary,False,20250811_2M,M,DRG,-0.49454769797253445,8,8,2C-2ML1 | 4A-2MT10 | 4C-2MT5 | 5A-2ML2 | 6B-2ML3 | 7D-2MT12 | 8C-2ML4 | 8D-2MT7
